qp_position,time,qp_velocity,qp_acceleration,qp_jerk
0,0,0.5,0,0.8
0.1,0.2,0.500001,0.16,0.133333
0.2,0.38831,0.531038,0.186667,0.14161
0.3,0.565271,0.565097,0.213333,0.150692
0.4,0.731477,0.601665,0.24,0.160444
0.5,0.88765,0.640313,0.266667,0.17075
0.6,1.03456,0.680687,0.293333,0.181516
0.7,1.17297,0.722496,0.32,0.192666
0.8,1.3036,0.765507,0.346667,0.204135
0.9,1.42713,0.809527,0.373333,0.215874
1,1.54417,0.854401,0.4,0.22784
1.1,1.65528,0.9,0.426667,0.24
1.2,1.76097,0.946221,0.453333,0.252326
1.3,1.86167,0.992976,0.48,0.264793
1.4,1.95781,1.04019,0.506667,0.277385
1.5,2.04974,1.08781,0.533333,0.290083
1.6,2.13778,1.13578,0.56,0.302875
1.7,2.22224,1.18406,0.586667,0.31575
1.8,2.30337,1.23261,0.613333,0.328697
1.9,2.38141,1.28141,0.64,0.341708
2,2.45657,1.33041,0.666667,0.354777
2.1,2.52905,1.37961,0.693333,0.367897
2.2,2.59903,1.42899,0.72,0.381063
2.3,2.66667,1.47851,0.746667,0.39427
2.4,2.73211,1.52818,0.773333,0.407515
2.5,2.79548,1.57797,0.8,0.420793
2.6,2.85691,1.62788,0.826667,0.434102
2.7,2.91651,1.6779,0.853333,0.447439
2.8,2.97438,1.728,0.88,0.460801
2.9,3.03061,1.7782,0.906667,0.474187
3,3.0853,1.82848,0.933333,0.487594
3.1,3.13853,1.87883,0.96,0.501021
3.2,3.19036,1.92925,0.986667,0.257233
3.3,3.24087,1.97973,1,-0.318619
3.4,3.29015,2.02961,0.983906,-0.54123
3.5,3.33828,2.07753,0.957239,-0.554007
3.6,3.38538,2.1231,0.930573,-0.566161
3.7,3.43154,2.16649,0.903906,-0.577731
3.8,3.47683,2.20782,0.877239,-0.588751
3.9,3.52133,2.2472,0.850573,-0.599253
4,3.5651,2.28474,0.823906,-0.609263
4.1,3.60819,2.32052,0.797239,-0.618805
4.2,3.65066,2.35462,0.770573,-0.627899
4.3,3.69255,2.38712,0.743906,-0.636567
4.4,3.73391,2.41809,0.717239,-0.644823
4.5,3.77477,2.44757,0.690573,-0.652685
4.6,3.81516,2.47562,0.663906,-0.660166
4.7,3.85512,2.5023,0.637239,-0.667279
4.8,3.89469,2.52763,0.610573,-0.674036
4.9,3.93388,2.55168,0.583906,-0.680447
5,3.97272,2.57446,0.557239,-0.686522
5.1,4.01124,2.59601,0.530573,-0.69227
5.2,4.04946,2.61637,0.503906,-0.697699
5.3,4.0874,2.63556,0.477239,-0.702816
5.4,4.12509,2.65361,0.450573,-0.707628
5.5,4.16253,2.67053,0.423906,-0.712142
5.6,4.19976,2.68636,0.397239,-0.716362
5.7,4.23678,2.7011,0.370573,-0.720295
5.8,4.27362,2.71479,0.343906,-0.723944
5.9,4.31028,2.72743,0.317239,-0.727314
6,4.34679,2.73903,0.290573,-0.730409
6.1,4.38316,2.74962,0.263906,-0.733233
6.2,4.4194,2.7592,0.237239,-0.735788
6.3,4.45553,2.76779,0.210573,-0.738077
6.4,4.49156,2.77539,0.183906,-0.740103
6.5,4.52751,2.782,0.157239,-0.741868
6.6,4.56338,2.78765,0.130573,-0.743374
6.7,4.59919,2.79233,0.103906,-0.744622
6.8,4.63496,2.79605,0.0772392,-0.745613
6.9,4.67069,2.79881,0.0505726,-0.74635
7,4.70639,2.80062,0.0239059,-0.669514
7.1,4.74209,2.80147,-5.24168e-08,2.64767e-07
7.2,4.77778,2.80147,-4.29658e-08,2.2343e-07
7.3,4.81348,2.80147,-3.49904e-08,1.78446e-07
7.4,4.84917,2.80147,-2.86206e-08,1.44091e-07
7.5,4.88487,2.80147,-2.34772e-08,1.16977e-07
7.6,4.92057,2.80147,-1.93017e-08,9.85522e-08
7.7,4.95626,2.80147,-1.57838e-08,7.88262e-08
7.8,4.99196,2.80147,-1.29701e-08,6.46973e-08
7.9,5.02765,2.80147,-1.06607e-08,5.90444e-08
8,5.06335,2.80147,-8.55303e-09,4.10371e-08
8.1,5.09904,2.80147,-7.08819e-09,3.38986e-08
8.2,5.13474,2.80147,-5.87816e-09,3.20217e-08
8.3,5.17043,2.80147,-4.73513e-09,2.43027e-08
8.4,5.20613,2.80147,-3.86763e-09,1.79706e-08
8.5,5.24183,2.80147,-3.22616e-09,1.739e-08
8.6,5.27752,2.80147,-2.60542e-09,1.22536e-08
8.7,5.31322,2.80147,-2.16802e-09,9.36849e-09
8.8,5.34891,2.80147,-1.83361e-09,9.59942e-09
8.9,5.38461,2.80147,-1.49095e-09,7.52068e-09
9,5.4203,2.80147,-1.2225e-09,6.23893e-09
9.1,5.456,2.80147,-9.99793e-10,4.88534e-09
9.2,5.49169,2.80147,-8.25408e-10,2.9248e-09
9.3,5.52739,2.80147,-7.21006e-10,-0.273288
9.4,5.56309,2.80147,-0.00975515,-0.8
9.5,5.59879,2.80112,-0.0383116,-0.7999
9.6,5.6345,2.79975,-0.066868,-0.79951
9.7,5.67025,2.79736,-0.0954244,-0.798827
9.8,5.70604,2.79395,-0.123981,-0.797853
9.9,5.74189,2.78951,-0.152537,-0.796585
10,5.77781,2.78404,-0.181094,-0.795022
10.1,5.81381,2.77752,-0.20965,-0.793162
10.2,5.84991,2.76997,-0.238207,-0.791003
10.3,5.88613,2.76135,-0.266763,-0.788544
10.4,5.92247,2.75168,-0.295319,-0.78578
10.5,5.95895,2.74092,-0.323876,-0.78271
10.6,5.9956,2.72908,-0.352432,-0.779328
10.7,6.03241,2.71614,-0.380989,-0.775631
10.8,6.06942,2.70207,-0.409545,-0.771615
10.9,6.10664,2.68687,-0.438102,-0.767275
11,6.14409,2.67052,-0.466658,-0.762605
11.1,6.18178,2.65299,-0.495214,-0.757598
11.2,6.21974,2.63425,-0.523771,-0.752249
11.3,6.25799,2.61429,-0.552327,-0.746549
11.4,6.29656,2.59308,-0.580884,-0.740492
11.5,6.33546,2.57058,-0.60944,-0.734067
11.6,6.37472,2.54676,-0.637997,-0.727265
11.7,6.41438,2.52159,-0.666553,-0.720076
11.8,6.45446,2.49501,-0.695109,-0.712487
11.9,6.495,2.467,-0.723666,-0.704486
12,6.53602,2.43749,-0.752222,-0.696059
12.1,6.57758,2.40643,-0.780779,-0.68719
12.2,6.6197,2.37376,-0.809335,-0.677862
12.3,6.66245,2.33942,-0.837892,-0.0350715
12.4,6.70587,2.30332,-0.839391,0.657747
12.5,6.74999,2.26659,-0.810834,0.647256
12.6,6.79482,2.23053,-0.782278,0.636959
12.7,6.84037,2.19518,-0.753721,0.626863
12.8,6.88666,2.16057,-0.725165,0.616981
12.9,6.93368,2.12674,-0.696609,0.607321
13,6.98144,2.09373,-0.668052,0.597894
13.1,7.02995,2.06157,-0.639496,0.588712
13.2,7.0792,2.03032,-0.610939,0.579786
13.3,7.1292,2,-0.582383,0.8
13.4,7.17994,1.97067,-0.542383,0.788266
13.5,7.23141,1.94295,-0.502383,0.777179
13.6,7.28358,1.91692,-0.462383,0.766767
13.7,7.33641,1.89264,-0.422383,0.757057
13.8,7.38988,1.87019,-0.382383,0.748077
13.9,7.44395,1.84963,-0.342383,0.739853
14,7.49856,1.83103,-0.302383,0.732411
14.1,7.55368,1.81444,-0.262383,0.725775
14.2,7.60924,1.79992,-0.222383,0.719968
14.3,7.66518,1.78752,-0.182383,0.715009
14.4,7.72144,1.77729,-0.142383,0.710916
14.5,7.77796,1.76926,-0.102383,0.707704
14.6,7.83467,1.76346,-0.0623829,0.705385
14.7,7.89149,1.75992,-0.0223829,0.703969
14.8,7.94835,1.75865,0.0176171,0.70346
14.9,8.00518,1.75965,0.0576171,0.703861
15,8.06191,1.76292,0.0976171,-0.705169
15.1,8.11845,1.76845,0.0576171,-0.707381
15.2,8.1749,1.77171,0.0176171,-0.708683
15.3,8.23131,1.7727,-0.0223829,-0.70908
15.4,8.28776,1.77144,-0.0623829,-0.708575
15.5,8.34432,1.76791,-0.102383,-0.707165
15.6,8.40107,1.76211,-0.142383,-0.704845
15.7,8.45808,1.75401,-0.182383,-0.701605
15.8,8.51544,1.74358,-0.222383,-0.697434
15.9,8.57322,1.73078,-0.262383,-0.692313
16,8.63151,1.71556,-0.302383,-0.18359
16.1,8.6904,1.69784,-0.313084,0.679135
16.2,8.74995,1.6793,-0.273084,0.671719
16.3,8.81009,1.66296,-0.233084,0.665182
16.4,8.87073,1.64888,-0.193084,0.659552
16.5,8.93182,1.63713,-0.153084,0.654851
16.6,8.99325,1.62775,-0.113084,0.6511
16.7,9.05495,1.62079,-0.0730844,0.648315
16.8,9.11682,1.61627,-0.0330844,0.646509
16.9,9.17877,1.61422,0.00691563,0.64569
17,9.2407,1.61465,0.0469156,0.645861
17.1,9.30252,1.61756,0.0869156,0.647022
17.2,9.36414,1.62292,0.126916,0.649168
17.3,9.42546,1.63072,0.166916,0.652289
17.4,9.4864,1.64093,0.206916,0.65637
17.5,9.54688,1.65349,0.246916,0.661395
17.6,9.60682,1.66835,0.286916,0.667342
17.7,9.66615,1.68546,0.326916,0.674185
17.8,9.72481,1.70475,0.366916,0.6819
17.9,9.78275,1.72614,0.406916,0.690455
18,9.8399,1.74955,0.446916,0.699821
18.1,9.89624,1.77491,0.486916,0.709965
18.2,9.95173,1.80214,0.526916,0.720855
18.3,10.0063,1.83114,0.566916,0.732457
18.4,10.0601,1.86185,0.606916,0.744738
18.5,10.1128,1.89416,0.646916,0.757665
18.6,10.1647,1.92801,0.686916,0.771205
18.7,10.2156,1.96332,0.726916,0.785327
18.8,10.2656,2,0.766916,0.8
18.9,10.3147,2.03799,0.806916,0.315693
19,10.3629,2.0772,0.822406,-0.332352
19.1,10.4101,2.11642,0.806406,-0.338628
19.2,10.4565,2.15419,0.790406,-0.34467
19.3,10.5022,2.19057,0.774406,-0.350492
19.4,10.5471,2.22564,0.758406,-0.356103
19.5,10.5914,2.25946,0.742406,-0.361517
19.6,10.635,2.29209,0.726406,-0.366736
19.7,10.678,2.32356,0.710406,-0.37177
19.8,10.7205,2.35394,0.694406,-0.37663
19.9,10.7625,2.38325,0.678406,-0.381321
20,10.8039,2.41155,0.662406,-0.48231
20.1,10.8449,2.43886,0.642406,-0.487773
20.2,10.8855,2.46506,0.622406,-0.493013
20.3,10.9257,2.49019,0.602406,-0.498037
20.4,10.9654,2.51426,0.582406,-0.502852
20.5,11.0049,2.53732,0.562406,-0.507463
20.6,11.0439,2.55939,0.542406,-0.511877
20.7,11.0827,2.58049,0.522406,-0.516098
20.8,11.1211,2.60066,0.502406,-0.520132
20.9,11.1593,2.61991,0.482406,-0.523981
21,11.1972,2.63826,0.462406,-0.527651
21.1,11.2349,2.65572,0.442406,-0.531145
21.2,11.2723,2.67233,0.422406,-0.534466
21.3,11.3095,2.68809,0.402406,-0.537618
21.4,11.3465,2.70302,0.382406,-0.540604
21.5,11.3833,2.71713,0.362406,-0.543426
21.6,11.4199,2.73044,0.342406,-0.546087
21.7,11.4564,2.74295,0.322406,-0.548589
21.8,11.4927,2.75468,0.302406,-0.550935
21.9,11.5288,2.76563,0.282406,-0.553126
22,11.5648,2.77582,0.262406,-0.555165
22.1,11.6007,2.78526,0.242406,-0.557052
22.2,11.6365,2.79395,0.222406,-0.55879
22.3,11.6722,2.8019,0.202406,-0.56038
22.4,11.7078,2.80912,0.182406,-0.561823
22.5,11.7433,2.8156,0.162406,-0.56312
22.6,11.7788,2.82136,0.142406,-0.564273
22.7,11.8142,2.82641,0.122406,-0.565281
22.8,11.8495,2.83073,0.102406,-0.566147
22.9,11.8848,2.83435,0.082406,-0.56687
23,11.92,2.83725,0.062406,-0.567451
23.1,11.9552,2.83945,0.042406,-0.567891
23.2,11.9904,2.84095,0.022406,-0.568189
23.3,12.0256,2.84174,0.00240605,-0.568347
23.4,12.0608,2.84182,-0.0175939,-0.568364
23.5,12.096,2.8412,-0.0375939,-0.56824
23.6,12.1312,2.83988,-0.0575939,-0.567975
23.7,12.1665,2.83785,-0.0775939,-0.56757
23.8,12.2017,2.83511,-0.0975939,-0.567023
23.9,12.2371,2.83167,-0.117594,-0.566334
24,12.2724,2.82751,-0.137594,-0.565502
24.1,12.3078,2.82264,-0.157594,-0.564528
24.2,12.3433,2.81705,-0.177594,-0.563411
24.3,12.3789,2.81074,-0.197594,-0.562148
24.4,12.4146,2.8037,-0.217594,-0.560741
24.5,12.4504,2.79593,-0.237594,-0.559186
24.6,12.4862,2.78742,-0.257594,-0.557484
24.7,12.5222,2.77816,-0.277594,-0.555633
24.8,12.5584,2.76815,-0.297594,-0.553631
24.9,12.5946,2.75738,-0.317594,-0.551476
25,12.631,2.74584,-0.337594,-0.549168
25.1,12.6676,2.73352,-0.357594,-0.546704
25.2,12.7044,2.7204,-0.377594,-0.544081
25.3,12.7413,2.70649,-0.397594,-0.541298
25.4,12.7785,2.69176,-0.417594,-0.538352
25.5,12.8158,2.6762,-0.437594,-0.53524
25.6,12.8534,2.6598,-0.457594,-0.53196
25.7,12.8913,2.64254,-0.477594,-0.528508
25.8,12.9294,2.6244,-0.497594,-0.52488
25.9,12.9678,2.60537,-0.517594,-0.521075
26,13.0064,2.58543,-0.537594,-0.517086
26.1,13.0454,2.56455,-0.557594,-0.512911
26.2,13.0848,2.54272,-0.577594,-0.508544
26.3,13.1245,2.5199,-0.597594,-0.50398
26.4,13.1645,2.49607,-0.617594,-0.499214
26.5,13.205,2.47121,-0.637594,-0.494241
26.6,13.2459,2.44527,-0.657594,-0.489054
26.7,13.2872,2.41823,-0.677594,-0.483645
26.8,13.3291,2.39004,-0.697594,-0.478008
26.9,13.3714,2.36067,-0.717594,-0.472135
27,13.4143,2.33008,-0.737594,-0.466016
27.1,13.4579,2.2982,-0.757594,-0.459641
27.2,13.502,2.265,-0.777594,-0.453
27.3,13.5468,2.23041,-0.797594,-0.446081
27.4,13.5924,2.19435,-0.817594,-0.438871
27.5,13.6388,2.15677,-0.837594,-0.431355
27.6,13.686,2.11758,-0.857594,-0.423516
27.7,13.7342,2.07669,-0.877594,-0.415338
27.8,13.7833,2.03399,-0.897594,-0.406798
27.9,13.8336,1.98937,-0.917594,-0.397874
28,13.8851,1.9427,-0.937594,-0.38854
28.1,13.9379,1.89382,-0.957594,-0.378764
28.2,13.9921,1.84256,-0.977594,-0.368513
28.3,14.048,1.78872,-0.997594,-0.0430378
28.4,14.1058,1.73205,-1,-5.19484e-08
28.5,14.1655,1.67332,-1,-7.5509e-08
28.6,14.2276,1.61245,-1,-9.02693e-08
28.7,14.2921,1.54919,-1,-1.02925e-07
28.8,14.3595,1.48324,-1,-1.21305e-07
28.9,14.4302,1.41421,-1,-1.47739e-07
29,14.5048,1.34164,-1,-1.7208e-07
29.1,14.5838,1.26491,-1,-1.9771e-07
29.2,14.6684,1.18322,-1,-2.29656e-07
29.3,14.7596,1.09545,-1,-4.0949e-08
29.4,14.8596,1,-1,0
29.5,14.9714,0.894428,-1,0
29.6,15.1005,0.774598,-1,0
29.7,15.2587,0.632457,-1,0
29.8,15.4823,0.447215,-1,0.0894436
29.9,16.4823,0,-0.98,0.0894436
